name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
nbody,java,2,10000,1540,0.000,0,-11,%,0.000
nbody,java,2,20000,1540,0.000,0,-11,%,0.000
nbody,java,2,30000,1540,0.000,0,-11,%,0.000
nbody,java,2,40000,1540,0.000,0,-11,%,0.000
nbody,java,2,50000,1540,0.000,0,-11,%,0.000
nbody,python,1,10000,1235,0.132,0,0,7% 0% 0% 0% 100% 0% 7% 0%,0.136
nbody,python,1,20000,1235,0.248,1724,0,0% 0% 0% 0% 0% 0% 100% 0%,0.251
nbody,python,1,30000,1235,0.372,1652,0,3% 0% 0% 3% 0% 0% 0% 100%,0.374
nbody,python,1,40000,1235,0.488,6652,0,2% 100% 0% 0% 0% 0% 0% 0%,0.490
nbody,python,1,50000,1235,0.604,6948,0,0% 2% 0% 0% 0% 0% 0% 100%,0.607
regexdna,python,1,10000,422,0.032,0,0,0% 0% 0% 0% 0% 0% 100% 0%,0.033
